matched_area_clean,total_facilities,beds,cots,operational_norm,anc,art,beoc,blood,caes_sec,ceoc,epi,fp,growm,hbc,hct,ipd,opd,outreach,pmtct,rad_xray,rhtc_rhdc,tb_diag,tb_labs,tb_treat,youth,area_clean,total,population,facilities_per_10k,beds_per_10k,cots_per_10k,operational_count,pct_operational,anc_pct,art_pct,beoc_pct,blood_pct,caes_sec_pct,ceoc_pct,epi_pct,fp_pct,growm_pct,hbc_pct,hct_pct,ipd_pct,opd_pct,outreach_pct,pmtct_pct,rad_xray_pct,rhtc_rhdc_pct,tb_diag_pct,tb_labs_pct,tb_treat_pct,youth_pct
NYAKACH,28,343.0,48.0,28,0,9,0,0,0,0,0,13,0,4,0,14,0,0,0,0,0,0,0,0,0,NYAKACH,150320.0,150320.0,1.8626929217668973,22.817988291644493,3.1931878658861095,28,100.0,0.0,32.142857142857146,0.0,0.0,0.0,0.0,0.0,46.42857142857143,0.0,14.285714285714285,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYAMACHE,15,72.0,0.0,15,0,2,0,0,0,0,0,12,0,10,0,13,0,0,0,0,0,0,0,0,0,NYAMACHE,130898.0,130898.0,1.145930419104952,5.500466011703769,0.0,15,100.0,0.0,13.333333333333334,0.0,0.0,0.0,0.0,0.0,80.0,0.0,66.66666666666666,0.0,86.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYAMIRA,32,386.0,38.0,29,0,3,0,0,0,0,0,16,0,5,0,17,0,0,0,0,0,0,0,0,0,NYAMIRA,605576.0,605576.0,0.5284225266523112,6.374096727743503,0.6275017503996195,29,90.625,0.0,9.375,0.0,0.0,0.0,0.0,0.0,50.0,0.0,15.625,0.0,53.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYAMIRA NORTH,27,143.0,11.0,21,0,3,0,0,0,0,0,19,0,7,0,18,0,0,0,0,0,0,0,0,0,NYAMIRA NORTH,167267.0,167267.0,1.6141857030974431,8.54920576084942,0.6576312123730323,21,77.77777777777779,0.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,70.37037037037037,0.0,25.925925925925924,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYANDARUA CENTRAL,18,142.0,41.0,18,0,1,0,0,0,0,0,8,0,7,0,11,0,0,0,0,0,0,0,0,0,NYANDARUA CENTRAL,75262.0,75262.0,2.391645186149717,18.8674231351811,5.447636257341022,18,100.0,0.0,5.555555555555555,0.0,0.0,0.0,0.0,0.0,44.44444444444444,0.0,38.88888888888889,0.0,61.111111111111114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYANDARUA NORTH,30,48.0,0.0,30,0,2,0,0,0,0,0,15,0,10,0,16,0,0,0,0,0,0,0,0,0,NYANDARUA NORTH,98698.0,98698.0,3.0395752700156033,4.863320432024965,0.0,30,100.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,50.0,0.0,33.33333333333333,0.0,53.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYANDARUA SOUTH,20,198.0,22.0,19,0,2,0,0,0,0,0,11,0,7,0,10,0,0,0,0,0,0,0,0,0,NYANDARUA SOUTH,93870.0,93870.0,2.130606157451795,21.093000958772773,2.3436667731969747,19,95.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,55.00000000000001,0.0,35.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYANDARUA WEST,16,42.0,1.0,16,0,2,0,0,0,0,0,8,0,5,0,9,0,0,0,0,0,0,0,0,0,NYANDARUA WEST,97965.0,97965.0,1.6332363599244628,4.287245444801715,0.10207727249527893,16,100.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,50.0,0.0,31.25,0.0,56.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYANDO,24,166.0,23.0,24,0,8,0,0,0,0,0,11,0,6,0,9,0,0,0,0,0,0,0,0,0,NYANDO,161508.0,161508.0,1.4859945018203433,10.278128637590706,1.4240780642444957,24,100.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,45.83333333333333,0.0,25.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYATIKE,40,405.0,12.0,33,0,18,0,0,0,0,0,27,0,27,0,27,0,0,0,0,0,0,0,0,0,NYATIKE,176162.0,176162.0,2.270637254345432,22.9902022002475,0.6811911763036296,33,82.5,0.0,45.0,0.0,0.0,0.0,0.0,0.0,67.5,0.0,67.5,0.0,67.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYERI CENTRAL,141,655.0,78.0,132,0,6,0,0,0,0,0,12,0,9,0,13,0,0,0,0,0,0,0,0,0,NYERI CENTRAL,140338.0,140338.0,10.04717182801522,46.67303225070901,5.558009947412675,132,93.61702127659575,0.0,4.25531914893617,0.0,0.0,0.0,0.0,0.0,8.51063829787234,0.0,6.382978723404255,0.0,9.219858156028367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYERI SOUTH,55,90.0,1.0,52,0,2,0,0,0,0,0,18,0,5,0,19,0,0,0,0,0,0,0,0,0,NYERI SOUTH,91081.0,91081.0,6.038581043247219,9.88131443440454,0.10979238260449489,52,94.54545454545455,0.0,3.6363636363636362,0.0,0.0,0.0,0.0,0.0,32.72727272727273,0.0,9.090909090909092,0.0,34.54545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZAMBANI,12,2.0,0.0,6,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,NZAMBANI,46788.0,46788.0,2.5647601949217744,0.42746003248696246,0.0,6,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZAUI,33,86.0,8.0,29,0,9,0,0,0,0,0,14,0,1,0,11,0,0,0,0,0,0,0,0,0,NZAUI,126701.0,126701.0,2.6045571858154233,6.78763387818565,0.6314078026219209,29,87.87878787878788,0.0,27.27272727272727,0.0,0.0,0.0,0.0,0.0,42.42424242424242,0.0,3.0303030303030303,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POKOT CENTRAL,26,22.0,2.0,24,0,0,0,0,0,0,0,8,0,8,0,8,0,0,0,0,0,0,0,0,0,POKOT CENTRAL,119016.0,119016.0,2.1845802245076293,1.8484909591987633,0.168044632654433,24,92.3076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.76923076923077,0.0,30.76923076923077,0.0,30.76923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
